EVTNAME18502;The turks sends a message!;The turks sends a message!;The turks sends a message!;;Los turcos envian un mensaje!;;;;;;;;;x
EVTDESC18502;The turks requests the arab unification of you!;The turks requests the arab unification of you!;The turks requests the arab unification of you!;;Los turcos solicitan la unificación arabe de ustedes!;;;;;;;;;x
EVTNAME18503;The arabs refused!;The arabs refused!;The arabs refused!;;Los arabes lo rechazaron!;;;;;;;;;x
EVTDESC18503;Arabia refused our petition, this can't be real!;Arabia refused our petition, this can't be real!;Arabia refused our petition, this can't be real!;;Los arabes rechazaron nuestra peticion, esto no puede ser real!;;;;;;;;;x
EVTNAME25225;You're france, DIE!;You're france, DIE!;You're france, DIE!;;Eres francia, MUERE!;;;;;;;;;x
EVTDESC25225;You're france, DIE!;You're france, DIE!;You're france, DIE!;;Eres francia, MUERE!;;;;;;;;;x
EVTNAME25012;Mongolian Request;Mongolian Request;Mongolian Request;;Petición Mongola;;;;;;;;;x
EVTDESC25012;They want their cores back! Do we accept?;They want their cores back! Do we accept?;They want their cores back! Do we accept?;;Quieren sus núcleos de nuevo! Aceptamos?;;;;;;;;;x
EVTNAME60200;Become Empire;Become Empire;Become Empire;;Conviertete en Imperio;;;;;;;;;x
EVTNAME809198;Our destinity..;Our destinity..;Our destinity..;;Nuestro destino..;;;;;;;;;x
EVTNAME60200;We are going to be puppets, or not?;We are going to be puppets, or not?;We are going to be puppets, or not?;;Vamos a ser vasallos, o no?;;;;;;;;;x
EVTDESC60200;We're becoming an empire after doing a good work!;We're becoming an empire after doing a good work!;We're becoming an empire after doing a good work!;;Nos estamos convirtiendo en un imperio despues de hacer un buen trabajo!;;;;;;;;;x
EVTNAME60201;Become Republic;Become Republic;Become Republic;;;;;;;;;;;x
EVTDESC60201;We're becoming a republic after doing a good work!;We're becoming a republic after doing a good work!;We're becoming a republic after doing a good work!;;Nos estamos convirtiendo en una repÃºblica despues de hacer un buen trabajo!;;;;;;;;;x
EVTNAME60202;Become Absolute Monarchy;Become Absolute Monarchy;Become Absolute Monarchy;;Conviertete en una Monarquia Absoluta;;;;;;;;;x
EVTDESC60202;We're becoming an absolute monarchy after doing a good work!;We're becoming an absolute monarchy after doing a good work!;Nos estamos convirtiendo en una monarquia absoluta despues de hacer un buen trabajo!;;;;;;;;;;;x
EVTNAME25006;Coup in the Qing Dinasty;Coup in the Qing Dinasty;Coup in the Qing Dinasty;;Rebeldes en la Dinastia Qing;;;;;;;;;x
EVTDESC25006;The rebels won..;The rebels won..;The rebels won..;;Los rebeldes ganaron..;;;;;;;;;x
EVTNAME25007;Coup in the Heavenly Kingdom;Coup in the Heavenly Kingdom;Coup in the Heavenly Kingdom;;Rebeldes en el Reino Celestial;;;;;;;;;x
EVTDESC25007;The rebels won..;The rebels won..;The rebels won..;;Los rebeldes ganaron..;;;;;;;;;x
EVTNAME25008;The opium conflict!;The opium conflict!;The opium conflict!;;El conflicto del opio;;;;;;;;;x
EVTDESC25008;China burns our opium!;China burns our opium!;China burns our opium!;;Los chinos nos queman nuestro opio!;;;;;;;;;x
EVTNAME25009;We lost the opium war!;We lost the opium war!;We lost the opium war!;;Perdimos la guerra del opio!;;;;;;;;;x
EVTDESC25009;After lose in war with the United Kingdom, we are now humillated :(;After lose in war with the United Kingdom, we are now humillated :(;After lose in war with the United Kingdom, we are now humillated :(;;Despues de perder en una guerra contra el Reino Unido, ahora somos humillados :(;;;;;;;;;x
